64, 12288, 12288, 0.1900ms, 101.7124Tflops
128, 12288, 12288, 0.2003ms, 193.0114Tflops
256, 12288, 12288, 0.3185ms, 242.7090Tflops
512, 12288, 12288, 0.6118ms, 252.7351Tflops
1024, 12288, 12288, 1.1990ms, 257.9115Tflops
2048, 12288, 12288, 2.3586ms, 262.2263Tflops
4096, 12288, 12288, 4.4576ms, 277.4929Tflops
8192, 12288, 12288, 8.6216ms, 286.9431Tflops
16384, 12288, 12288, 17.0307ms, 290.5223Tflops
32768, 12288, 12288, 35.4407ms, 279.2160Tflops
8192, 64, 64, 0.0296ms, 2.2700Tflops
8192, 128, 128, 0.0310ms, 8.6608Tflops
8192, 256, 256, 0.0356ms, 30.1244Tflops
8192, 512, 512, 0.0471ms, 91.2121Tflops
8192, 1024, 1024, 0.0927ms, 185.2380Tflops
8192, 2048, 2048, 0.2818ms, 243.8497Tflops
8192, 4096, 4096, 1.0210ms, 269.2169Tflops
8192, 8192, 8192, 3.9614ms, 277.5532Tflops
8192, 16384, 16384, 15.0087ms, 293.0334Tflops
8192, 32768, 32768, 61.1346ms, 287.7616Tflops
